case_id,borrower_name,age,occupation,employer_business,employment_business_vintage_years,annual_income_lakh,existing_emi_inr,credit_score,loan_product,loan_purpose,loan_amount_inr,tenure_years,interest_rate_percent,primary_property_pdf,city,locality,property_type,property_address,building_society,flat_house_number,bedrooms,carpet_area_sqft,builtup_area_sqft,floor,total_floors,property_age_years,parking,occupancy,condition,sale_deed_status,property_card_status,share_certificate_status,building_plan_status,occupancy_certificate_status,property_tax_status,encumbrance_security_interest_status,owner_consistency,address_consistency,property_id_consistency,area_consistency,property_type_consistency,document_completeness,exceptions,comparable_count,average_comparable_rate_inr_sqft,adjusted_comparable_rate_inr_sqft,indicative_value_inr,indicative_value_low_inr,indicative_value_high_inr,valuation_confidence,ltv_percent,collateral_coverage_x,collateral_assessment,valuer_status,valuer_assessed_value_inr,valuer_override_reason,credit_review_status,data_classification,data_note
CLIQ-00579,Raj Singh,38,Government Employee,Manufacturing Business,5,8.77,7700,787,Loan Against Property (LAP),Medical/Personal Need,10500000,15,10.95,Simulated - property information source,Thane,Thane West,Independent House,"131, Thane West, Thane, Maharashtra",Green Heights,House-75,3,800,980,13,29,24,1 Open,Self-occupied,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,Charge indicated - review required,Pass,Pass,Pass,Pass,Pass,Complete,Security interest requires review,7,32100,32500,26000000,24600000,27300000,High,40.4,2.48,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00580,Sneha Chaudhari,26,Salaried,Government Department,9,32.47,71100,718,Loan Against Property (LAP),Medical/Personal Need,16400000,7,8.54,Simulated - property information source,Mumbai,Andheri West,Apartment / Flat,"731, Andheri West, Mumbai, Maharashtra",Shree Residency,608,4,690,800,13,35,28,1 Open,Tenant-occupied,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,47100,47300,32600000,31500000,33900000,High,50.3,1.99,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00581,Sneha Pawar,28,Government Employee,Manufacturing Business,7,21.1,55600,827,Loan Against Property (LAP),Education,49200000,10,11.09,Simulated - property information source,Mumbai,Dadar West,Villa,"22, Dadar West, Mumbai, Maharashtra",Sunrise Apartments,House-51,1,2460,2870,14,27,22,2 Covered,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,55200,53600,131900000,124100000,140500000,Medium,37.3,2.68,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00582,Pooja Gupta,37,Business Owner,Government Department,6,14.69,34000,784,Loan Against Property (LAP),Business Expansion,41100000,20,11.59,Simulated - property information source,Mumbai,Mahim,Independent House,"991, Mahim, Mumbai, Maharashtra",Green Heights,House-23,4,1300,1550,14,34,25,1 Open,Tenant-occupied,Good,Uploaded,Pending,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,6,52600,51800,67300000,64400000,70700000,High,61.1,1.64,MEDIUM - REVIEW REQUIRED,Completed,68200000,Comparable selection adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00583,Rohan Agarwal,31,Business Owner,Private Company,16,13.68,10500,818,Loan Against Property (LAP),Debt Consolidation,46300000,20,9.71,Simulated - property information source,Mumbai,Matunga,Apartment / Flat,"358, Matunga, Mumbai, Maharashtra",Demo Housing Society,904,3,1450,1700,1,21,21,1 Covered,Self-occupied,Needs Review,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,58300,59200,85800000,82800000,91400000,Medium,54.0,1.85,MEDIUM - REVIEW REQUIRED,Completed,82400000,Condition/marketability adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00584,Varun Sharma,37,Business Owner,Trading Business,9,9.34,8000,748,Home Loan,Balance Transfer,27200000,20,8.74,Simulated - property information source,Thane,Majiwada,Apartment / Flat,"26, Majiwada, Thane, Maharashtra",Green Heights,703,3,1490,1860,12,32,18,1 Covered,Vacant,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,29300,30100,44800000,42700000,46600000,High,60.7,1.65,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00585,Ananya Jain,39,Government Employee,Private Company,1,20.59,17300,710,Loan Against Property (LAP),Education,4000000,10,8.91,Simulated - property information source,Thane,Kopri,Apartment / Flat,"941, Kopri, Thane, Maharashtra",Demo Housing Society,502,4,450,540,8,33,3,2 Covered,Vacant,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency,5,24400,24900,11200000,10800000,11700000,Low,35.7,2.8,MEDIUM - REVIEW REQUIRED,Completed,10600000,Condition/marketability adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00586,Raj Nair,25,Government Employee,Private Company,6,27.13,37100,818,Home Loan,Balance Transfer,26400000,30,9.79,Simulated - property information source,Thane,Kopri,Apartment / Flat,"105, Kopri, Thane, Maharashtra",Demo Housing Society,306,2,1790,2160,2,32,3,2 Covered,Self-occupied,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,27500,28300,50700000,48600000,53500000,Medium,52.1,1.92,LOW - REVIEW COMPLETE,Completed,50300000,Condition/marketability adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00587,Aarav Nair,34,Business Owner,Private Company,8,19.94,53000,757,Home Loan,Purchase of Residential Property,50000000,15,9.68,Simulated - property information source,Mumbai,Mahim,Independent House,"715, Mahim, Mumbai, Maharashtra",Sai Enclave,House-64,4,1680,1970,2,5,14,None,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Verification Pending,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security-interest verification pending,7,54900,54000,90700000,87800000,96100000,High,55.1,1.81,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00588,Isha Gupta,29,Salaried,Professional Practice,1,36.32,76500,716,Loan Against Property (LAP),Debt Consolidation,50000000,15,10.51,Simulated - property information source,Mumbai,Parel,Villa,"646, Parel, Mumbai, Maharashtra",Shree Residency,House-54,2,1540,1920,9,21,11,None,Vacant,Needs Review,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,5,60000,61300,94400000,90600000,100700000,High,53.0,1.89,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00589,Siddharth Verma,43,Self-Employed Professional,Trading Business,4,52.63,90300,802,Home Loan,Balance Transfer,50000000,30,9.27,Simulated - property information source,Mumbai,Worli,Independent House,"411, Worli, Mumbai, Maharashtra",Ocean View CHS,House-22,4,2660,3340,18,24,17,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,6,74500,72500,192800000,187000000,198800000,Medium,25.9,3.86,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00590,Rohan Jain,47,Government Employee,Government Department,8,34.38,38500,757,Loan Against Property (LAP),Debt Consolidation,14200000,15,9.19,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"272, Andheri East, Mumbai, Maharashtra",Demo Housing Society,404,4,460,540,1,7,7,None,Self-occupied,Good,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Exception,Complete,Property type inconsistency,5,43200,43300,19900000,18900000,20800000,High,71.4,1.4,MEDIUM - REVIEW REQUIRED,Completed,19000000,Comparable selection adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00591,Neha Malhotra,26,Self-Employed Professional,Trading Business,3,15.36,27900,748,Loan Against Property (LAP),Debt Consolidation,37700000,20,9.5,Simulated - property information source,Thane,Manpada,Independent House,"97, Manpada, Thane, Maharashtra",Green Heights,House-62,2,2840,3520,6,31,34,2 Covered,Self-occupied,Good,Uploaded,Pending,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,26400,26300,74700000,70300000,78700000,High,50.5,1.98,LOW - REVIEW COMPLETE,Completed,70800000,Condition/marketability adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00592,Rohan Chaudhari,27,Business Owner,Government Department,14,19.05,30800,750,Home Loan,Construction,14200000,25,8.95,Simulated - property information source,Thane,Manpada,Apartment / Flat,"956, Manpada, Thane, Maharashtra",Green Heights,704,1,800,1010,11,26,6,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,7,28300,29100,23300000,22400000,24400000,High,60.9,1.64,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00593,Meera Verma,42,Salaried,Trading Business,10,17.82,23000,747,Home Loan,Balance Transfer,16000000,20,10.77,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"376, Wagle Estate, Thane, Maharashtra",Green Heights,309,2,1520,1840,4,35,19,1 Open,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,26500,25900,39400000,37200000,41500000,High,40.6,2.46,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00594,Siddharth Joshi,23,Salaried,Government Department,8,20.75,18400,809,Loan Against Property (LAP),Education,29200000,7,10.87,Simulated - property information source,Thane,Kopri,Apartment / Flat,"118, Kopri, Thane, Maharashtra",Demo Housing Society,803,1,1780,2240,7,27,14,2 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,30000,30300,53900000,50800000,55600000,High,54.2,1.85,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00595,Neha Agarwal,33,Salaried,Trading Business,5,47.84,103000,717,Loan Against Property (LAP),Debt Consolidation,6000000,10,8.8,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"281, Wagle Estate, Thane, Maharashtra",Sai Enclave,101,3,640,800,15,21,9,None,Tenant-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,27200,27400,17500000,16800000,18300000,High,34.3,2.92,LOW - REVIEW COMPLETE,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00596,Aarav Shah,37,Business Owner,Manufacturing Business,6,24.95,53800,739,Loan Against Property (LAP),Education,37500000,7,8.85,Simulated - property information source,Mumbai,Andheri West,Apartment / Flat,"458, Andheri West, Mumbai, Maharashtra",Shree Residency,201,3,1460,1690,2,13,1,1 Covered,Vacant,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,40900,40700,59400000,56700000,61300000,High,63.1,1.58,LOW - REVIEW COMPLETE,Completed,60300000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00597,Arjun Deshmukh,42,Business Owner,Trading Business,10,6.02,10500,796,Home Loan,Construction,42900000,15,8.86,Simulated - property information source,Thane,Vartak Nagar,Independent House,"664, Vartak Nagar, Thane, Maharashtra",Ocean View CHS,House-55,4,2940,3670,13,29,17,1 Covered,Vacant,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,32600,33100,97300000,93200000,102000000,Medium,44.1,2.27,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00598,Arjun Jain,50,Salaried,Private Company,14,21.94,33700,688,Loan Against Property (LAP),Education,18900000,7,11.03,Simulated - property information source,Thane,Kalwa,Apartment / Flat,"615, Kalwa, Thane, Maharashtra",Shree Residency,807,3,1270,1480,7,21,32,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security-interest verification pending,8,24400,24400,31000000,29700000,32400000,High,61.0,1.64,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00599,Meera Malhotra,57,Self-Employed Professional,Professional Practice,12,21.94,32200,698,Home Loan,Balance Transfer,13300000,25,10.93,Simulated - property information source,Thane,Thane West,Villa,"908, Thane West, Thane, Maharashtra",Ocean View CHS,House-23,3,760,910,16,22,2,None,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,27900,28600,21700000,20800000,23200000,Medium,61.3,1.63,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00600,Rahul Sharma,41,Business Owner,Government Department,15,21.7,41600,687,Home Loan,Construction,50000000,15,9.28,Simulated - property information source,Mumbai,Prabhadevi,Apartment / Flat,"943, Prabhadevi, Mumbai, Maharashtra",Demo Housing Society,407,3,1520,1790,14,22,16,None,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Exception,Pass,Pass,Pass,Pass,Complete,Owner mismatch,6,74700,76800,116700000,109700000,121500000,High,42.8,2.33,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00601,Aarav Deshmukh,38,Business Owner,Professional Practice,3,12.93,21100,734,Home Loan,Construction,11600000,20,10.34,Simulated - property information source,Mumbai,Parel,Apartment / Flat,"539, Parel, Mumbai, Maharashtra",Sunrise Apartments,905,2,570,680,5,23,10,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,56700,58200,33200000,31900000,35300000,Medium,34.9,2.86,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00602,Rahul Verma,28,Salaried,Manufacturing Business,9,5.0,4400,652,Loan Against Property (LAP),Education,23500000,20,9.5,Simulated - property information source,Mumbai,Wadala,Apartment / Flat,"763, Wadala, Mumbai, Maharashtra",Ocean View CHS,207,3,710,910,1,18,11,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security-interest verification pending,6,52000,51900,36800000,35600000,39100000,High,63.9,1.57,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00603,Raj Singh,39,Salaried,Government Department,2,40.66,59000,831,Home Loan,Balance Transfer,35100000,10,8.65,Simulated - property information source,Mumbai,Mahim,Apartment / Flat,"855, Mahim, Mumbai, Maharashtra",Green Heights,408,1,1720,2000,16,27,16,1 Open,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Exception,Pass,Pass,Pass,Pass,Complete,Owner mismatch,7,60700,60100,103400000,99000000,109600000,High,33.9,2.95,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00604,Meera Malhotra,47,Salaried,Private Company,18,22.21,21600,731,Loan Against Property (LAP),Debt Consolidation,49900000,10,8.76,Simulated - property information source,Mumbai,Andheri West,Independent House,"125, Andheri West, Mumbai, Maharashtra",Demo Housing Society,House-70,2,1820,2280,3,31,23,1 Open,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,7,43500,42400,77200000,74200000,80100000,High,64.6,1.55,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00605,Sneha Deshmukh,38,Self-Employed Professional,Private Company,7,16.47,23800,707,Home Loan,Balance Transfer,20200000,15,8.28,Simulated - property information source,Thane,Naupada,Apartment / Flat,"429, Naupada, Thane, Maharashtra",Ocean View CHS,902,3,1310,1640,2,25,7,None,Vacant,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,34900,34200,44800000,42300000,47000000,High,45.1,2.22,MEDIUM - REVIEW REQUIRED,Completed,42900000,No material adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00606,Neha Deshmukh,28,Government Employee,Private Company,9,17.2,34100,737,Loan Against Property (LAP),Business Expansion,12600000,10,9.32,Simulated - property information source,Thane,Kopri,Apartment / Flat,"162, Kopri, Thane, Maharashtra",Demo Housing Society,504,2,1140,1320,17,24,4,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security-interest verification pending,5,27300,26800,30600000,29500000,32200000,High,41.2,2.43,MEDIUM - REVIEW REQUIRED,Completed,29200000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00607,Varun Chaudhari,48,Salaried,Manufacturing Business,14,13.55,35600,650,Loan Against Property (LAP),Education,18600000,7,10.39,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"326, Wagle Estate, Thane, Maharashtra",Ocean View CHS,605,2,1710,2040,18,20,11,1 Open,Tenant-occupied,Excellent,Uploaded,Uploaded,Not Applicable,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,24900,25500,43600000,41900000,46300000,High,42.7,2.34,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00608,Nikhil Chaudhari,38,Government Employee,Trading Business,8,21.15,39500,713,Home Loan,Balance Transfer,20000000,20,9.07,Simulated - property information source,Thane,Vartak Nagar,Apartment / Flat,"691, Vartak Nagar, Thane, Maharashtra",Sunrise Apartments,904,3,1090,1270,3,25,26,1 Open,Vacant,Good,Pending,Uploaded,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,28700,28200,30700000,29500000,32000000,High,65.1,1.53,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00609,Vikram Shah,36,Government Employee,Private Company,6,21.02,46600,729,Loan Against Property (LAP),Education,14600000,10,9.24,Simulated - property information source,Thane,Vartak Nagar,Apartment / Flat,"255, Vartak Nagar, Thane, Maharashtra",Sunrise Apartments,707,3,790,970,11,11,20,None,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,29700,29500,23300000,22100000,24900000,High,62.7,1.6,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00610,Rahul More,54,Business Owner,Trading Business,3,7.77,5300,773,Loan Against Property (LAP),Education,16800000,10,10.18,Simulated - property information source,Thane,Manpada,Apartment / Flat,"637, Manpada, Thane, Maharashtra",Ocean View CHS,202,2,1170,1460,13,34,11,None,Vacant,Needs Review,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,30700,31400,36700000,35500000,38400000,High,45.8,2.18,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00611,Pooja Bansal,34,Government Employee,Private Company,1,19.11,44400,749,Loan Against Property (LAP),Medical/Personal Need,32300000,15,8.25,Simulated - property information source,Mumbai,Andheri West,Apartment / Flat,"662, Andheri West, Mumbai, Maharashtra",Sai Enclave,707,4,1740,2100,1,26,20,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Exception,Complete,Property type inconsistency,7,45000,44800,78000000,74500000,80400000,High,41.4,2.41,MEDIUM - REVIEW REQUIRED,Completed,79800000,Comparable selection adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00612,Kavya Chaudhari,34,Salaried,Government Department,5,38.56,62100,802,Home Loan,Construction,50000000,25,8.69,Simulated - property information source,Mumbai,Dadar East,Villa,"890, Dadar East, Mumbai, Maharashtra",Green Heights,House-86,2,2900,3590,8,25,17,2 Covered,Vacant,Needs Review,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,58200,58700,170200000,162900000,180500000,High,29.4,3.4,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00613,Siddharth More,32,Government Employee,Manufacturing Business,10,32.34,60400,658,Home Loan,Balance Transfer,43500000,15,8.26,Simulated - property information source,Mumbai,Bandra East,Apartment / Flat,"239, Bandra East, Mumbai, Maharashtra",Green Heights,902,3,1390,1630,16,30,20,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,5,64700,63600,88400000,84700000,92500000,High,49.2,2.03,MEDIUM - REVIEW REQUIRED,Completed,86100000,No material adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00614,Sneha Deshmukh,23,Government Employee,Government Department,9,10.14,12900,709,Loan Against Property (LAP),Medical/Personal Need,50000000,20,11.35,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"730, Worli, Mumbai, Maharashtra",Sai Enclave,306,2,1440,1700,13,27,12,2 Covered,Vacant,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,6,72000,71000,102200000,96900000,106200000,High,48.9,2.04,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00615,Nikhil Jain,34,Government Employee,Government Department,2,14.35,25600,838,Loan Against Property (LAP),Business Expansion,39800000,15,11.3,Simulated - property information source,Mumbai,Dadar West,Row House,"154, Dadar West, Mumbai, Maharashtra",Shree Residency,House-96,3,1880,2250,10,29,1,None,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,63900,62200,116900000,112900000,123900000,High,34.0,2.94,MEDIUM - REVIEW REQUIRED,Completed,113800000,Comparable selection adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00616,Sneha Iyer,30,Business Owner,Professional Practice,2,18.5,46100,850,Home Loan,Construction,7100000,25,11.69,Simulated - property information source,Thane,Kopri,Apartment / Flat,"854, Kopri, Thane, Maharashtra",Sai Enclave,202,4,480,610,2,13,1,None,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency; Security-interest verification pending,7,27000,27100,13000000,12500000,13700000,Low,54.6,1.83,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00617,Meera Patil,44,Self-Employed Professional,Government Department,3,15.57,33100,745,Loan Against Property (LAP),Medical/Personal Need,17600000,20,11.48,Simulated - property information source,Thane,Ghodbunder Road,Apartment / Flat,"70, Ghodbunder Road, Thane, Maharashtra",Sai Enclave,304,4,1490,1810,1,13,18,None,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,24900,24800,37000000,35900000,39000000,High,47.6,2.1,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
